,Date,Ta
0,2021-10-10 00:00,0.049
1,2021-10-10 01:00,0.049
2,2021-10-10 02:00,0.049
3,2021-10-10 03:00,0.0462
4,2021-10-10 04:00,0.0462
5,2021-10-10 05:00,0.0462
6,2021-10-10 06:00,0.0448
7,2021-10-10 07:00,0.0448
8,2021-10-10 08:00,0.0448
9,2021-10-10 09:00,0.0434
10,2021-10-10 10:00,0.0434
11,2021-10-10 11:00,0.0434
12,2021-10-10 12:00,0.0434
13,2021-10-10 13:00,0.0434
14,2021-10-10 14:00,0.0434
15,2021-10-10 15:00,0.042
16,2021-10-10 16:00,0.042
17,2021-10-10 17:00,0.042
18,2021-10-10 18:00,0.0378
19,2021-10-10 19:00,0.0378
20,2021-10-10 20:00,0.0378
21,2021-10-10 21:00,0.0434
22,2021-10-10 22:00,0.0434
23,2021-10-10 23:00,0.0434
