,Date,Ta
0,2021-11-02 00:00,0.4818
1,2021-11-02 01:00,0.4818
2,2021-11-02 02:00,0.4818
3,2021-11-02 03:00,0.4964
4,2021-11-02 04:00,0.4964
5,2021-11-02 05:00,0.4964
6,2021-11-02 06:00,0.4088
7,2021-11-02 07:00,0.4088
8,2021-11-02 08:00,0.4088
9,2021-11-02 09:00,0.3796
10,2021-11-02 10:00,0.3796
11,2021-11-02 11:00,0.3796
12,2021-11-02 12:00,0.3796
13,2021-11-02 13:00,0.3796
14,2021-11-02 14:00,0.3796
15,2021-11-02 15:00,0.365
16,2021-11-02 16:00,0.365
17,2021-11-02 17:00,0.365
18,2021-11-02 18:00,0.3504
19,2021-11-02 19:00,0.3504
20,2021-11-02 20:00,0.3504
21,2021-11-02 21:00,0.4088
22,2021-11-02 22:00,0.4088
23,2021-11-02 23:00,0.4088
