,Date,Ta
0,2021-11-01 00:00,0.0392
1,2021-11-01 01:00,0.0392
2,2021-11-01 02:00,0.0392
3,2021-11-01 03:00,0.0378
4,2021-11-01 04:00,0.0378
5,2021-11-01 05:00,0.0378
6,2021-11-01 06:00,0.034999999999999996
7,2021-11-01 07:00,0.034999999999999996
8,2021-11-01 08:00,0.034999999999999996
9,2021-11-01 09:00,0.0336
10,2021-11-01 10:00,0.0336
11,2021-11-01 11:00,0.0336
12,2021-11-01 12:00,0.0336
13,2021-11-01 13:00,0.0336
14,2021-11-01 14:00,0.0336
15,2021-11-01 15:00,0.0322
16,2021-11-01 16:00,0.0322
17,2021-11-01 17:00,0.0322
18,2021-11-01 18:00,0.0308
19,2021-11-01 19:00,0.0308
20,2021-11-01 20:00,0.0308
21,2021-11-01 21:00,0.034999999999999996
22,2021-11-01 22:00,0.034999999999999996
23,2021-11-01 23:00,0.034999999999999996
