,Date,Ta
0,2021-10-04 00:00,0.2701
1,2021-10-04 01:00,0.2701
2,2021-10-04 02:00,0.2701
3,2021-10-04 03:00,0.2701
4,2021-10-04 04:00,0.2701
5,2021-10-04 05:00,0.2701
6,2021-10-04 06:00,0.2409
7,2021-10-04 07:00,0.2409
8,2021-10-04 08:00,0.2409
9,2021-10-04 09:00,0.2263
10,2021-10-04 10:00,0.2263
11,2021-10-04 11:00,0.2263
12,2021-10-04 12:00,0.219
13,2021-10-04 13:00,0.219
14,2021-10-04 14:00,0.219
15,2021-10-04 15:00,0.2117
16,2021-10-04 16:00,0.2117
17,2021-10-04 17:00,0.2117
18,2021-10-04 18:00,0.1971
19,2021-10-04 19:00,0.1971
20,2021-10-04 20:00,0.1971
21,2021-10-04 21:00,0.2336
22,2021-10-04 22:00,0.2336
23,2021-10-04 23:00,0.2336
